Timestamp,Year,Month,Day,Hour,PM2.5
05-04-2019 13:00,2019,4,5,13,38.93
05-04-2019 14:00,2019,4,5,14,38.47
05-04-2019 15:00,2019,4,5,15,42.53
05-04-2019 16:00,2019,4,5,16,42.48
05-04-2019 17:00,2019,4,5,17,48.72
05-04-2019 18:00,2019,4,5,18,49.21
05-04-2019 19:00,2019,4,5,19,61.81
06-04-2019 01:00,2019,4,6,1,42.51
06-04-2019 02:00,2019,4,6,2,43.4
06-04-2019 03:00,2019,4,6,3,41.87
06-04-2019 04:00,2019,4,6,4,55.19
06-04-2019 05:00,2019,4,6,5,55.12
06-04-2019 06:00,2019,4,6,6,51.37
06-04-2019 07:00,2019,4,6,7,51.41
06-04-2019 08:00,2019,4,6,8,49.09
06-04-2019 09:00,2019,4,6,9,43.93
06-04-2019 10:00,2019,4,6,10,43.41
06-04-2019 11:00,2019,4,6,11,42
06-04-2019 12:00,2019,4,6,12,49.45
06-04-2019 13:00,2019,4,6,13,35.46
06-04-2019 14:00,2019,4,6,14,44.27
06-04-2019 15:00,2019,4,6,15,42.96
06-04-2019 16:00,2019,4,6,16,42.25
06-04-2019 17:00,2019,4,6,17,42.14
06-04-2019 18:00,2019,4,6,18,36.43
06-04-2019 19:00,2019,4,6,19,41.15
06-04-2019 20:00,2019,4,6,20,45.49
07-04-2019 04:00,2019,4,7,4,48.5
07-04-2019 05:00,2019,4,7,5,48.16
07-04-2019 06:00,2019,4,7,6,43.93
07-04-2019 07:00,2019,4,7,7,43.32
07-04-2019 08:00,2019,4,7,8,39.51
07-04-2019 09:00,2019,4,7,9,37.93
07-04-2019 12:00,2019,4,7,12,43.64
07-04-2019 13:00,2019,4,7,13,38.58
07-04-2019 14:00,2019,4,7,14,37.06
07-04-2019 15:00,2019,4,7,15,34.72
07-04-2019 16:00,2019,4,7,16,25.4
07-04-2019 17:00,2019,4,7,17,24.6
07-04-2019 18:00,2019,4,7,18,33.01
07-04-2019 23:00,2019,4,7,23,35.26
08-04-2019 00:00,2019,4,8,0,35.76
08-04-2019 01:00,2019,4,8,1,36.28
08-04-2019 02:00,2019,4,8,2,39.26
08-04-2019 03:00,2019,4,8,3,42.35
08-04-2019 04:00,2019,4,8,4,42.65
08-04-2019 05:00,2019,4,8,5,46.84
08-04-2019 06:00,2019,4,8,6,46.22
08-04-2019 07:00,2019,4,8,7,43.89
08-04-2019 08:00,2019,4,8,8,44.77
08-04-2019 09:00,2019,4,8,9,43.42
08-04-2019 10:00,2019,4,8,10,42.37
08-04-2019 11:00,2019,4,8,11,32.84
08-04-2019 12:00,2019,4,8,12,32.89
08-04-2019 13:00,2019,4,8,13,32.92
08-04-2019 15:00,2019,4,8,15,41.69
08-04-2019 16:00,2019,4,8,16,41.92
08-04-2019 17:00,2019,4,8,17,41.48
08-04-2019 18:00,2019,4,8,18,44.36
08-04-2019 19:00,2019,4,8,19,45.85
08-04-2019 20:00,2019,4,8,20,45.79
08-04-2019 21:00,2019,4,8,21,45.51
08-04-2019 22:00,2019,4,8,22,45.09
08-04-2019 23:00,2019,4,8,23,46.29
09-04-2019 00:00,2019,4,9,0,43.78
09-04-2019 01:00,2019,4,9,1,44.93
09-04-2019 02:00,2019,4,9,2,50.74
09-04-2019 03:00,2019,4,9,3,54.17
09-04-2019 04:00,2019,4,9,4,55.01
09-04-2019 05:00,2019,4,9,5,54.53
09-04-2019 06:00,2019,4,9,6,55.24
09-04-2019 07:00,2019,4,9,7,58.88
09-04-2019 14:00,2019,4,9,14,35.04
09-04-2019 15:00,2019,4,9,15,39.19
09-04-2019 16:00,2019,4,9,16,39.57
09-04-2019 17:00,2019,4,9,17,45.57
09-04-2019 18:00,2019,4,9,18,49.2
09-04-2019 19:00,2019,4,9,19,48.63
09-04-2019 20:00,2019,4,9,20,43.71
09-04-2019 21:00,2019,4,9,21,44.19
09-04-2019 22:00,2019,4,9,22,47.42
09-04-2019 23:00,2019,4,9,23,47.95
10-04-2019 00:00,2019,4,10,0,47.99
10-04-2019 01:00,2019,4,10,1,50.47
10-04-2019 02:00,2019,4,10,2,51.23
10-04-2019 03:00,2019,4,10,3,51.59
10-04-2019 04:00,2019,4,10,4,51.48
10-04-2019 05:00,2019,4,10,5,49.84
10-04-2019 06:00,2019,4,10,6,44.87
10-04-2019 07:00,2019,4,10,7,44.11
10-04-2019 08:00,2019,4,10,8,42.32
10-04-2019 09:00,2019,4,10,9,41.51
10-04-2019 10:00,2019,4,10,10,42.29
10-04-2019 11:00,2019,4,10,11,44.89
10-04-2019 12:00,2019,4,10,12,54.43
10-04-2019 13:00,2019,4,10,13,54.63
10-04-2019 14:00,2019,4,10,14,34.2
10-04-2019 15:00,2019,4,10,15,34.55
10-04-2019 16:00,2019,4,10,16,35.6
10-04-2019 17:00,2019,4,10,17,55.86
10-04-2019 18:00,2019,4,10,18,55.81
10-04-2019 19:00,2019,4,10,19,49.07
10-04-2019 20:00,2019,4,10,20,47.05
10-04-2019 21:00,2019,4,10,21,34.27
10-04-2019 22:00,2019,4,10,22,37.16
10-04-2019 23:00,2019,4,10,23,48.85
11-04-2019 00:00,2019,4,11,0,53.07
11-04-2019 01:00,2019,4,11,1,42.35
11-04-2019 02:00,2019,4,11,2,44.79
11-04-2019 03:00,2019,4,11,3,44.8
11-04-2019 04:00,2019,4,11,4,48.91
11-04-2019 05:00,2019,4,11,5,45.63
11-04-2019 06:00,2019,4,11,6,52.9
11-04-2019 07:00,2019,4,11,7,52.88
11-04-2019 08:00,2019,4,11,8,41.55
11-04-2019 09:00,2019,4,11,9,38.9
11-04-2019 10:00,2019,4,11,10,36.92
11-04-2019 11:00,2019,4,11,11,38.01
11-04-2019 12:00,2019,4,11,12,38.91
11-04-2019 13:00,2019,4,11,13,38.99
11-04-2019 14:00,2019,4,11,14,39.46
11-04-2019 15:00,2019,4,11,15,37.3
11-04-2019 16:00,2019,4,11,16,37.73
11-04-2019 17:00,2019,4,11,17,38.66
11-04-2019 18:00,2019,4,11,18,39.13
11-04-2019 19:00,2019,4,11,19,39.24
11-04-2019 20:00,2019,4,11,20,45.82
11-04-2019 21:00,2019,4,11,21,44.84
11-04-2019 22:00,2019,4,11,22,49.85
11-04-2019 23:00,2019,4,11,23,45.7
12-04-2019 00:00,2019,4,12,0,49.02
12-04-2019 01:00,2019,4,12,1,43.14
12-04-2019 02:00,2019,4,12,2,47.06
12-04-2019 03:00,2019,4,12,3,47.1
12-04-2019 04:00,2019,4,12,4,48.41
12-04-2019 05:00,2019,4,12,5,55.12
12-04-2019 06:00,2019,4,12,6,43.53
12-04-2019 07:00,2019,4,12,7,43.55
12-04-2019 08:00,2019,4,12,8,43.59
12-04-2019 09:00,2019,4,12,9,44.13
12-04-2019 10:00,2019,4,12,10,46.89
12-04-2019 13:00,2019,4,12,13,32.54
12-04-2019 14:00,2019,4,12,14,34.52
12-04-2019 15:00,2019,4,12,15,39.5
12-04-2019 16:00,2019,4,12,16,42.92
12-04-2019 17:00,2019,4,12,17,42.99
12-04-2019 18:00,2019,4,12,18,38.19
12-04-2019 19:00,2019,4,12,19,38.01
13-04-2019 01:00,2019,4,13,1,50.45
13-04-2019 04:00,2019,4,13,4,53.34
13-04-2019 05:00,2019,4,13,5,53.35
13-04-2019 06:00,2019,4,13,6,53.35
13-04-2019 08:00,2019,4,13,8,42.4
13-04-2019 09:00,2019,4,13,9,42.39
13-04-2019 10:00,2019,4,13,10,40.77
13-04-2019 11:00,2019,4,13,11,54.73
13-04-2019 12:00,2019,4,13,12,52.12
13-04-2019 13:00,2019,4,13,13,50.37
13-04-2019 14:00,2019,4,13,14,46.15
13-04-2019 15:00,2019,4,13,15,46.13
13-04-2019 16:00,2019,4,13,16,45.38
13-04-2019 17:00,2019,4,13,17,45.6
13-04-2019 18:00,2019,4,13,18,38.52
13-04-2019 19:00,2019,4,13,19,47.46
13-04-2019 20:00,2019,4,13,20,47.3
13-04-2019 21:00,2019,4,13,21,46.09
13-04-2019 22:00,2019,4,13,22,44.58
13-04-2019 23:00,2019,4,13,23,45.21
14-04-2019 00:00,2019,4,14,0,40.27
